ENTITY_ID,Operator,12 Month Cum BOE (20:1),Lat,Long,Bakken, Lateral Length ,Slickwater,"Proppant, mmlbs","Fluid, mbbl"
128997809,Oasis,"29,000",48.1,-102.6,0," 9,890 ",1, 0.1 , 228.5 
128998200,Oasis,"76,000",48.3,-103.7,1," 9,974 ",1, 0.1 , 119.7 
128997931,Oasis,"62,000",48.3,-103.7,0," 10,101 ",1, 0.2 , 167.1 
129027283,Oasis,"77,000",48.3,-103.7,1," 9,605 ",1, 0.2 , 182.0 
129043429,Oasis,"95,000",48.3,-103.7,1," 9,524 ",1, 0.2 , 184.0 
128199624,Whiting,"48,000",48.0,-102.4,0," 9,507 ",0, 0.2 , 24.5 
128914502,Hess,"166,000",48.0,-102.9,1," 9,341 ",0, 0.2 , 38.3 
128901512,Whiting,"70,000",48.0,-102.5,1," 9,481 ",0, 0.3 , 59.4 
129083061,Whiting,"91,000",48.1,-103.3,0," 9,238 ",0, 0.3 , 52.1 
128629188,Oasis,"107,000",48.1,-103.5,1," 9,170 ",1, 0.3 , 216.8 
128610892,Whiting,"65,000",48.1,-103.3,0," 8,973 ",0, 0.4 , 81.7 
128226624,WPX,"46,000",47.7,-102.8,0," 9,869 ",0, 0.5 , 31.1 
128610828,Whiting,"59,000",48.1,-102.5,0," 7,486 ",0, 0.4 , 28.0 
128611022,Whiting,"80,000",48.1,-103.3,1," 8,690 ",0, 0.4 , 79.2 
128575084,Hess,"41,000",47.9,-103.2,0," 9,058 ",0, 0.6 , 29.2 
129043118,HRC,"137,000",47.6,-102.7,0," 9,585 ",0, 0.7 , 141.2 
128479575,Whiting,"61,000",48.1,-102.4,0," 9,779 ",0, 0.7 , 26.7 
128915070,Continental,"130,000",47.9,-103.5,1," 9,578 ",0, 0.7 , 189.0 
128997769,HRC,"105,000",47.6,-102.7,0," 9,328 ",0, 0.7 , 113.2 
128983959,HRC,"265,000",47.6,-102.7,1," 9,749 ",0, 0.7 , 131.8 
